phrog	color	annot	category
579	#c9c9c9	NA	unknown function
580	#c9c9c9	NA	unknown function
581	#3e83f6	minor head protein	head and packaging
582	#a861e3	Arc-like repressor	transcription regulation
583	#c9c9c9	NA	unknown function
584	#07e9a2	major tail protein	tail
585	#c9c9c9	NA	unknown function
586	#c9c9c9	NA	unknown function
587	#3e83f6	structural protein	head and packaging
588	#07e9a2	tail fiber protein and host specificity	tail
589	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
590	#c9c9c9	NA	unknown function
591	#c9c9c9	NA	unknown function
592	#838383	thymidine kinase	other
593	#c9c9c9	NA	unknown function
594	#c9c9c9	NA	unknown function
595	#3e83f6	head maturation protease	head and packaging
596	#c9c9c9	NA	unknown function
597	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
598	#ffdf59	DNA ejection	DNA, RNA and nucleotide metabolism
599	#ff59f5	Lar-like restriction alleviation protein	moron, auxiliary metabolic gene and host takeover
600	#c9c9c9	unknown function	unknown function
601	#c9c9c9	NA	unknown function
602	#c9c9c9	NA	unknown function
603	#a861e3	transcriptional regulator	transcription regulation
604	#c9c9c9	NA	unknown function
605	#c9c9c9	NA	unknown function
606	#3e83f6	terminase small subunit	head and packaging
607	#ffdf59	exonuclease VII	DNA, RNA and nucleotide metabolism
608	#f35f49	holin	lysis
609	#f35f49	RIIB lysis inhibitor	lysis
610	#c9c9c9	NA	unknown function
611	#c9c9c9	NA	unknown function
612	#f35f49	RIIA lysis inhibitor	lysis
613	#3e83f6	head protein	head and packaging
614	#c9c9c9	NA	unknown function
615	#35d7ff	head-tail adaptor	connector
616	#c9c9c9	NA	unknown function
617	#3e83f6	major head protein	head and packaging
618	#c9c9c9	NA	unknown function
619	#838383	ribose-phosphate pyrophosphokinase	other
620	#ffdf59	ParB-like partition protein	DNA, RNA and nucleotide metabolism
621	#07e9a2	tail assembly chaperone	tail
622	#c9c9c9	unknown function	unknown function
623	#fea328	transposase	integration and excision
624	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
625	#c9c9c9	NA	unknown function
626	#ffdf59	anaerobic ribonucleotide reductase small subunit	DNA, RNA and nucleotide metabolism
627	#c9c9c9	NA	unknown function
628	#c9c9c9	NA	unknown function
629	#fea328	excisionase	integration and excision
630	#c9c9c9	NA	unknown function
631	#c9c9c9	NA	unknown function
632	#ff59f5	tellurite resistance	moron, auxiliary metabolic gene and host takeover
633	#a861e3	transcriptional regulator	transcription regulation
634	#07e9a2	baseplate hub assembly catalyst	tail
635	#f35f49	endolysin	lysis
636	#c9c9c9	NA	unknown function
637	#35d7ff	head-tail adaptor Ad3	connector
638	#a861e3	transcriptional regulator	transcription regulation
639	#a861e3	transcriptional regulator	transcription regulation
640	#c9c9c9	NA	unknown function
641	#3e83f6	terminase small subunit	head and packaging
642	#c9c9c9	NA	unknown function
643	#a861e3	transcriptional regulator	transcription regulation
644	#c9c9c9	NA	unknown function
645	#ffdf59	Rnase E	DNA, RNA and nucleotide metabolism
646	#c9c9c9	unknown function	unknown function
647	#c9c9c9	NA	unknown function
648	#3e83f6	head scaffolding protein	head and packaging
649	#c9c9c9	NA	unknown function
650	#c9c9c9	NA	unknown function
651	#3e83f6	head morphogenesis	head and packaging
652	#c9c9c9	NA	unknown function
653	#c9c9c9	NA	unknown function
654	#c9c9c9	NA	unknown function
655	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism
656	#ff59f5	abc2 anti-RecBCD	moron, auxiliary metabolic gene and host takeover
657	#c9c9c9	NA	unknown function
658	#c9c9c9	NA	unknown function
659	#ffdf59	Sak-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
660	#c9c9c9	NA	unknown function
661	#c9c9c9	NA	unknown function
662	#c9c9c9	NA	unknown function
663	#3e83f6	minor head protein	head and packaging
664	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
665	#c9c9c9	NA	unknown function
666	#c9c9c9	NA	unknown function
667	#c9c9c9	NA	unknown function
668	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
669	#f35f49	endolysin	lysis
670	#f35f49	endolysin	lysis
671	#838383	nucleotide pyrophosphohydrolase	other
672	#c9c9c9	NA	unknown function
673	#3e83f6	head scaffolding protein	head and packaging
674	#c9c9c9	NA	unknown function
675	#3e83f6	terminase large subunit	head and packaging
676	#c9c9c9	NA	unknown function
677	#07e9a2	baseplate wedge tail fiber protein connector	tail
678	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
679	#35d7ff	head closure Hc2	connector
680	#07e9a2	tail length tape measure protein	tail
681	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
682	#c9c9c9	NA	unknown function
683	#c9c9c9	NA	unknown function
684	#3e83f6	virion structural protein	head and packaging
685	#c9c9c9	NA	unknown function
686	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
687	#3e83f6	structural protein	head and packaging
688	#fea328	transposase	integration and excision
689	#f35f49	holin	lysis
690	#c9c9c9	NA	unknown function
691	#ffdf59	partition protein	DNA, RNA and nucleotide metabolism
692	#3e83f6	virion structural protein	head and packaging
693	#07e9a2	tail fiber protein	tail
694	#07e9a2	baseplate hub and tail lysozyme	tail
695	#ffdf59	DNA polymerase/primase	DNA, RNA and nucleotide metabolism
696	#3e83f6	major head protein	head and packaging
697	#3e83f6	structural protein	head and packaging
698	#c9c9c9	NA	unknown function
699	#c9c9c9	NA	unknown function
700	#f35f49	endolysin	lysis
701	#3e83f6	virion structural protein	head and packaging
702	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism
703	#c9c9c9	NA	unknown function
704	#ffdf59	DNA repair exonuclease	DNA, RNA and nucleotide metabolism
705	#c9c9c9	NA	unknown function
706	#c9c9c9	NA	unknown function
707	#c9c9c9	NA	unknown function
708	#07e9a2	baseplate wedge subunit	tail
709	#c9c9c9	NA	unknown function
710	#c9c9c9	NA	unknown function
711	#c9c9c9	NA	unknown function
712	#c9c9c9	NA	unknown function
713	#ffdf59	DNA replication initiation	DNA, RNA and nucleotide metabolism
714	#c9c9c9	NA	unknown function
715	#838383	MazG-like pyrophosphatase	other
716	#838383	Na/K ATPase	other
717	#c9c9c9	NA	unknown function
718	#c9c9c9	NA	unknown function
719	#07e9a2	baseplate wedge subunit	tail
720	#fea328	transposase	integration and excision
721	#c9c9c9	NA	unknown function
722	#c9c9c9	NA	unknown function
723	#ffdf59	ParB-like partition protein	DNA, RNA and nucleotide metabolism
724	#ffdf59	exonuclease recombination-associated	DNA, RNA and nucleotide metabolism
725	#a861e3	CII-like regulator	transcription regulation
726	#c9c9c9	NA	unknown function
727	#c9c9c9	NA	unknown function
728	#c9c9c9	NA	unknown function
729	#838383	cold shock protein	other
730	#c9c9c9	NA	unknown function
731	#c9c9c9	NA	unknown function
732	#07e9a2	minor tail protein	tail
733	#fea328	excisionase	integration and excision
734	#c9c9c9	NA	unknown function
735	#3e83f6	terminase small subunit	head and packaging
736	#c9c9c9	NA	unknown function
737	#07e9a2	minor tail protein	tail
738	#c9c9c9	NA	unknown function
739	#f35f49	Rz-like spanin	lysis
740	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
741	#c9c9c9	NA	unknown function
742	#838383	acetyltransferase	other
743	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
744	#c9c9c9	NA	unknown function
745	#c9c9c9	NA	unknown function
746	#07e9a2	minor tail protein	tail
747	#c9c9c9	NA	unknown function
748	#35d7ff	head-tail connector protein	connector
749	#c9c9c9	NA	unknown function
750	#c9c9c9	NA	unknown function
751	#c9c9c9	NA	unknown function
752	#3e83f6	major head protein	head and packaging
753	#a861e3	anti-termination protein Q-like	transcription regulation
754	#07e9a2	minor tail protein	tail
755	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism
756	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
757	#838383	DNA methyltransferase	other
758	#3e83f6	head morphogenesis	head and packaging
759	#838383	tail associated cell-wall hydrolase	other
760	#c9c9c9	NA	unknown function
761	#838383	thymidylate kinase	other
762	#c9c9c9	NA	unknown function
763	#35d7ff	head-tail adaptor	connector
764	#838383	cytidyltransferase	other
765	#c9c9c9	NA	unknown function
766	#3e83f6	head decoration	head and packaging
767	#838383	cAMP phosphodiesterase	other
768	#ffdf59	DprA-like DNA recombination-mediator protein	DNA, RNA and nucleotide metabolism
769	#a861e3	transcriptional repressor	transcription regulation
770	#838383	DNA transfer protein	other
771	#3e83f6	virion structural protein	head and packaging
772	#07e9a2	tail fiber protein	tail
773	#3e83f6	major head protein	head and packaging
774	#c9c9c9	NA	unknown function
775	#ffdf59	replication helicase	DNA, RNA and nucleotide metabolism
776	#3e83f6	portal protein	head and packaging
777	#3e83f6	major head protein	head and packaging
778	#07e9a2	tail assembly protein	tail
779	#c9c9c9	NA	unknown function
780	#c9c9c9	NA	unknown function
781	#c9c9c9	NA	unknown function
782	#c9c9c9	NA	unknown function
783	#35d7ff	head-tail adaptor	connector
784	#c9c9c9	NA	unknown function
785	#f35f49	holin	lysis
786	#c9c9c9	NA	unknown function
787	#c9c9c9	NA	unknown function
788	#07e9a2	tail protein	tail
789	#838383	esterase/lipase	other
790	#f35f49	endolysin	lysis
791	#c9c9c9	NA	unknown function
792	#07e9a2	major tail protein	tail
793	#35d7ff	head-tail adaptor	connector
794	#07e9a2	tail length tape measure protein	tail
795	#838383	partition protein ATPase	other
796	#c9c9c9	NA	unknown function
797	#c9c9c9	NA	unknown function
798	#c9c9c9	NA	unknown function
799	#838383	DNA methyltransferase	other
800	#3e83f6	terminase small subunit	head and packaging
801	#ffdf59	dATP / dGTP pyrophosphohydrolase	DNA, RNA and nucleotide metabolism
802	#ff59f5	Alt-like RNA polymerase ADP-ribosyltransferase	moron, auxiliary metabolic gene and host takeover
803	#ff59f5	host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover
804	#c9c9c9	NA	unknown function
805	#3e83f6	internal virion protein	head and packaging
806	#c9c9c9	NA	unknown function
807	#07e9a2	major tail protein with Ig-like domain	tail
808	#c9c9c9	NA	unknown function
809	#a861e3	transcriptional regulator	transcription regulation
810	#c9c9c9	NA	unknown function
811	#ffdf59	UmuD-like protein	DNA, RNA and nucleotide metabolism
812	#f35f49	Rz-like spanin	lysis
813	#35d7ff	head-tail adaptor	connector
814	#c9c9c9	NA	unknown function
815	#c9c9c9	NA	unknown function
816	#ff59f5	cell division inhibitor	moron, auxiliary metabolic gene and host takeover
817	#07e9a2	tail fiber protein	tail
818	#c9c9c9	NA	unknown function
819	#07e9a2	tail protein	tail
820	#07e9a2	major tail protein	tail
821	#a861e3	transcriptional regulator	transcription regulation
822	#f35f49	amidase	lysis
823	#c9c9c9	NA	unknown function
824	#c9c9c9	NA	unknown function
825	#c9c9c9	NA	unknown function
826	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
827	#ffdf59	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
828	#c9c9c9	NA	unknown function
829	#c9c9c9	NA	unknown function
830	#35d7ff	head-tail connector protein	connector
831	#c9c9c9	NA	unknown function
832	#ffdf59	RNA polymerase ADP-ribosylase	DNA, RNA and nucleotide metabolism
833	#f35f49	endolysin	lysis
834	#c9c9c9	NA	unknown function
835	#c9c9c9	NA	unknown function
836	#a861e3	late transcriptional activator	transcription regulation
837	#07e9a2	minor tail protein	tail
838	#c9c9c9	NA	unknown function
839	#c9c9c9	NA	unknown function
840	#3e83f6	major head protein	head and packaging
841	#ff59f5	GtrB-like O-antigen conversion	moron, auxiliary metabolic gene and host takeover
842	#838383	beta-glucosyl-HMC-alpha-glucosyltransferase	other
843	#ffdf59	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
844	#ff59f5	ferredoxin	moron, auxiliary metabolic gene and host takeover
845	#c9c9c9	NA	unknown function
846	#c9c9c9	NA	unknown function
847	#a861e3	anti-repressor Ant	transcription regulation
848	#c9c9c9	NA	unknown function
849	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
850	#ffdf59	RNA-binding protein	DNA, RNA and nucleotide metabolism
851	#ff59f5	Shiga toxin subunit B	moron, auxiliary metabolic gene and host takeover
852	#c9c9c9	NA	unknown function
853	#07e9a2	major tail protein	tail
854	#ff59f5	glucosyltransferase	moron, auxiliary metabolic gene and host takeover
855	#c9c9c9	NA	unknown function
856	#c9c9c9	NA	unknown function
857	#c9c9c9	NA	unknown function
858	#a861e3	starvation-inducible transcriptional regulator	transcription regulation
859	#3e83f6	portal protein	head and packaging
860	#f35f49	holin	lysis
861	#fea328	site-specific recombination directionality factor RDF	integration and excision
862	#c9c9c9	NA	unknown function
863	#07e9a2	tail fiber assembly	tail
864	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
865	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
866	#ff59f5	Shiga toxin subunit A	moron, auxiliary metabolic gene and host takeover
867	#ffdf59	DNA binding domain	DNA, RNA and nucleotide metabolism
868	#a861e3	transcriptional activator	transcription regulation
869	#c9c9c9	NA	unknown function
870	#c9c9c9	NA	unknown function
871	#c9c9c9	NA	unknown function
872	#c9c9c9	NA	unknown function
873	#3e83f6	endolysin	head and packaging
874	#c9c9c9	NA	unknown function
875	#c9c9c9	NA	unknown function
876	#a861e3	transcriptional repressor	transcription regulation
877	#c9c9c9	NA	unknown function
878	#c9c9c9	NA	unknown function
879	#35d7ff	tail completion or Neck1 protein	connector
880	#f35f49	endolysin	lysis
881	#f35f49	holin	lysis
882	#c9c9c9	NA	unknown function
883	#ff59f5	flavodoxin	moron, auxiliary metabolic gene and host takeover
884	#c9c9c9	NA	unknown function
885	#07e9a2	major tail protein	tail
886	#ff59f5	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover
887	#ff59f5	queuine tRNA-ribosyltransferase	moron, auxiliary metabolic gene and host takeover
888	#c9c9c9	NA	unknown function
889	#c9c9c9	NA	unknown function
890	#838383	lipoprotein	other
891	#3e83f6	terminase small subunit	head and packaging
892	#07e9a2	tail fiber protein	tail
893	#c9c9c9	NA	unknown function
894	#f35f49	endolysin	lysis
895	#c9c9c9	NA	unknown function
896	#c9c9c9	NA	unknown function
897	#c9c9c9	NA	unknown function
898	#c9c9c9	NA	unknown function
899	#c9c9c9	NA	unknown function
900	#c9c9c9	NA	unknown function
901	#c9c9c9	NA	unknown function
902	#c9c9c9	NA	unknown function
903	#c9c9c9	NA	unknown function
904	#fea328	excisionase	integration and excision
905	#c9c9c9	NA	unknown function
906	#ffdf59	DNA polymerase/primase	DNA, RNA and nucleotide metabolism
907	#07e9a2	tail sheath	tail
908	#c9c9c9	NA	unknown function
909	#3e83f6	major head protein	head and packaging
910	#07e9a2	tail collar fiber protein	tail
911	#c9c9c9	NA	unknown function
912	#c9c9c9	NA	unknown function
913	#3e83f6	minor head protein	head and packaging
914	#c9c9c9	NA	unknown function
915	#c9c9c9	NA	unknown function
916	#c9c9c9	NA	unknown function
917	#838383	released from the phage upon host infection	other
918	#c9c9c9	NA	unknown function
919	#c9c9c9	NA	unknown function
920	#f35f49	holin	lysis
921	#c9c9c9	NA	unknown function
922	#c9c9c9	NA	unknown function
923	#c9c9c9	NA	unknown function
924	#c9c9c9	NA	unknown function
925	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
926	#c9c9c9	NA	unknown function
927	#35d7ff	tail completion or Neck1 protein	connector
928	#c9c9c9	NA	unknown function
929	#ff59f5	RstB sensor of two protein system	moron, auxiliary metabolic gene and host takeover
930	#ffdf59	ParB-like partition protein	DNA, RNA and nucleotide metabolism
931	#3e83f6	head morphogenesis	head and packaging
932	#c9c9c9	NA	unknown function
933	#c9c9c9	NA	unknown function
934	#07e9a2	tail length tape measure protein	tail
935	#c9c9c9	NA	unknown function
936	#c9c9c9	NA	unknown function
937	#838383	hemolysin	other
938	#f35f49	endolysin	lysis
939	#3e83f6	head protein	head and packaging
940	#ffdf59	nuclease	DNA, RNA and nucleotide metabolism
941	#c9c9c9	NA	unknown function
942	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
943	#a861e3	anti-termination protein Q-like	transcription regulation
944	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
945	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
946	#c9c9c9	NA	unknown function
947	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
948	#c9c9c9	NA	unknown function
949	#c9c9c9	NA	unknown function
950	#c9c9c9	NA	unknown function
951	#c9c9c9	NA	unknown function
